id,keyword,location,text,target
1,,,A massive earthquake struck the city overnight.,1
2,,,A wildfire broke out in the forest near our town.,1
3,,,Residents are being evacuated due to flooding.,1
4,,,Tornado warning issued for our area.,1
5,,,Heatwave alert! Temperatures soaring above 100°F.,1
6,,,No significant weather events reported today.,0
7,,,Excited for the upcoming vacation!,0
8,,,Enjoying the beautiful autumn weather.,0
9,,,Snowfall expected tomorrow morning.,0
10,,,Planning a beach trip this weekend.,0
11,,,Heavy rainfall caused minor flooding in some areas.,1
13,,,High winds causing power outages in the region.,1
14,,,Minor earthquake tremors felt in the city.,1
15,,,Thunderstorm warning in effect.,1
16,,,Sunny skies and warm temperatures forecasted.,0
17,,,Autumn foliage at its peak.,0
18,,,Snowstorm expected to hit tonight.,1
19,,,Landslide reported on the outskirts of town.,1
20,,,Tornado watch issued for the county.,1
21,,,Planning a picnic in the park.,0
22,,,Looking forward to the spring festival.,0
23,,,Enjoying a cozy night by the fireplace.,0
24,,,Garden blooming with flowers.,0
25,,,Preparing for a camping trip next weekend.,0
26,,,Thunder and lightning observed in the evening.,1
28,,,Flash flood warning in effect.,1
29,,,Earthquake drill conducted at local schools.,1
30,,,Sunny weather perfect for outdoor activities.,0
31,,,Hiking trip planned for the weekend.,0
32,,,Enjoying a day at the beach with friends.,0
33,,,Tornado touchdown reported in nearby town.,1
34,,,Heavy rain causing localized flooding.,1
35,,,Severe thunderstorm warning issued.,1
36,,,Snowfall accumulation expected overnight.,1
37,,,Warm temperatures expected for the weekend.,0
38,,,Fall foliage tour scheduled for next week.,0
39,,,Snowplows dispatched to clear roads after snowstorm.,1
40,,,Landslide warning issued for mountainous regions.,1
41,,,Gusty winds causing minor damage in some areas.,1
42,,,Earthquake aftershocks felt throughout the region.,1
43,,,Sunny skies and mild temperatures forecasted.,0
44,,,Enjoying the changing colors of the leaves.,0
45,,,Winter storm warning in effect for the region.,1
46,,,Flash flooding reported in low-lying areas.,1
47,,,Thunderstorm activity expected later today.,1
48,,,Snow flurries observed in the morning.,1
49,,,Clear skies and cool temperatures forecasted.,0
50,,,Planning a ski trip for the holidays.,0
51,,,Heatwave warning issued for the city.,1
52,,,Smoke from nearby wildfires visible in the sky.,1
53,,,Heavy rain causing traffic delays.,1
54,,,Minor earthquake tremors felt in the region.,1
55,,,Sunny weather perfect for outdoor events.,0
56,,,Enjoying a walk in the park.,0
57,,,Winter weather advisory in effect.,1
58,,,Flash flood watch issued for the region.,1
59,,,Sunny skies and warm temperatures expected.,0
60,,,Fall foliage at its peak.,0
61,,,Snowstorm warning upgraded to blizzard warning.,1
62,,,Mudslide reported on the highway.,1
63,,,Thunderstorms expected to develop this afternoon.,1
64,,,Snow accumulation expected overnight.,1
65,,,Clear skies and mild temperatures forecasted.,0
66,,,Enjoying a day at the lake with family.,0
67,,,Heatwave causing record-breaking temperatures.,1
68,,,Smoke from distant wildfires drifting into the city.,1
69,,,Heavy rainfall causing localized flooding.,1
70,,,Minor earthquake reported in the area.,1
71,,,Sunny weather perfect for outdoor activities.,0
72,,,Autumn leaves falling gracefully from the trees.,0
73,,,Snowfall expected to intensify overnight.,1
74,,,Rockslide reported on the mountain pass.,1
75,,,Thunderstorm warning issued for the evening.,1
76,,,Sunny skies and cool temperatures forecasted.,0
77,,,Enjoying a bike ride through the countryside.,0
78,,,Winter storm warning upgraded to blizzard warning.,1
79,,,Flash flood warning issued for the county.,1
80,,,Sunny weather perfect for a picnic.,0
81,,,Enjoying the beautiful spring weather.,0
82,,,Snowfall accumulation expected to continue overnight.,1
83,,,Heavy rain causing street flooding.,1
84,,,Earthquake aftershocks continue to be felt.,1
85,,,Sunny skies and warm temperatures expected.,0
86,,,Fall foliage tour scheduled for next weekend.,0
87,,,Winter weather advisory issued for the region.,1
88,,,Flash flooding reported in low-lying areas.,1
89,,,Thunderstorm activity expected to increase later today.,1
90,,,Snow flurries observed in the morning.,1
91,,,Clear skies and mild temperatures forecasted.,0
92,,,Enjoying a hike in the mountains.,0
93,,,Heatwave warning issued for the city.,1
94,,,Smoke from nearby wildfires visible in the sky.,1
95,,,Heavy rain causing traffic delays.,1
96,,,Minor earthquake tremors felt in the region.,1
97,,,Sunny weather perfect for outdoor events.,0
98,,,Enjoying a walk in the park.,0
99,,,Winter weather advisory in effect.,1
100,,,Flash flood watch issued for the region.,1
101,,,Sunny skies and warm temperatures expected.,0
102,,,Fall foliage at its peak.,0
103,,,Snowstorm warning upgraded to blizzard warning.,1
104,,,Mudslide reported on the highway.,1
105,,,Thunderstorms expected to develop this afternoon.,1
106,,,Snow accumulation expected overnight.,1
107,,,Clear skies and mild temperatures forecasted.,0
108,,,Enjoying a day at the lake with family.,0
109,,,Heatwave causing record-breaking temperatures.,1
110,,,Smoke from distant wildfires drifting into the city.,1
111,,,Heavy rainfall causing localized flooding.,1
112,,,Minor earthquake reported in the area.,1
113,,,Sunny weather perfect for outdoor activities.,0
114,,,Autumn leaves falling gracefully from the trees.,0
115,,,Snowfall expected to intensify overnight.,1
116,,,Rockslide reported on the mountain pass.,1
117,,,Thunderstorm warning issued for the evening.,1
118,,,Sunny skies and cool temperatures forecasted.,0
119,,,Enjoying a bike ride through the countryside.,0
120,,,Winter storm warning upgraded to blizzard warning.,1
121,,,Flash flood warning issued for the county.,1
122,,,Sunny weather perfect for a picnic.,0
123,,,Enjoying the beautiful spring weather.,0
124,,,Snowfall accumulation expected to continue overnight.,1
125,,,Heavy rain causing street flooding.,1
126,,,Earthquake aftershocks continue to be felt.,1
127,,,Sunny skies and warm temperatures expected.,0
128,,,Fall foliage tour scheduled for next weekend.,0
129,,,Winter weather advisory issued for the region.,1
130,,,Flash flooding reported in low-lying areas.,1
131,,,Thunderstorm activity expected to increase later today.,1
132,,,Snow flurries observed in the morning.,1
133,,,Clear skies and mild temperatures forecasted.,0
134,,,Enjoying a hike in the mountains.,0
135,,,Heatwave warning issued for the city.,1
136,,,Smoke from nearby wildfires visible in the sky.,1
137,,,Heavy rain causing traffic delays.,1
138,,,Minor earthquake tremors felt in the region.,1
139,,,Sunny weather perfect for outdoor events.,0
140,,,Enjoying a walk in the park.,0
141,,,Winter weather advisory in effect.,1
142,,,Flash flood watch issued for the region.,1
143,,,Sunny skies and warm temperatures expected.,0
144,,,Fall foliage at its peak.,0
145,,,Snowstorm warning upgraded to blizzard warning.,1
146,,,Mudslide reported on the highway.,1
147,,,Thunderstorms expected to develop this afternoon.,1
148,,,Snow accumulation expected overnight.,1
149,,,Clear skies and mild temperatures forecasted.,0
150,,,Enjoying a day at the lake with family.,0
151,,,Heatwave causing record-breaking temperatures.,1
152,,,Smoke from distant wildfires drifting into the city.,1
153,,,Heavy rainfall causing localized flooding.,1
154,,,Minor earthquake reported in the area.,1
155,,,Sunny weather perfect for outdoor activities.,0
156,,,Autumn leaves falling gracefully from the trees.,0
157,,,Snowfall expected to intensify overnight.,1
158,,,Rockslide reported on the mountain pass.,1
159,,,Thunderstorm warning issued for the evening.,1
160,,,Sunny skies and cool temperatures forecasted.,0
161,,,Enjoying a bike ride through the countryside.,0
162,,,Winter storm warning upgraded to blizzard warning.,1
163,,,Flash flood warning issued for the county.,1
164,,,Sunny weather perfect for a picnic.,0
165,,,Enjoying the beautiful spring weather.,0
166,,,Snowfall accumulation expected to continue overnight.,1
167,,,Heavy rain causing street flooding.,1
168,,,Earthquake aftershocks continue to be felt.,1
169,,,Sunny skies and warm temperatures expected.,0
170,,,Fall foliage tour scheduled for next weekend.,0
171,,,Winter weather advisory issued for the region.,1
172,,,Flash flooding reported in low-lying areas.,1
173,,,Thunderstorm activity expected to increase later today.,1
174,,,Snow flurries observed in the morning.,1
175,,,Clear skies and mild temperatures forecasted.,0
176,,,Enjoying a hike in the mountains.,0
177,,,Heatwave warning issued for the city.,1
178,,,Smoke from nearby wildfires visible in the sky.,1
179,,,Heavy rain causing traffic delays.,1
180,,,Minor earthquake tremors felt in the region.,1
181,,,Sunny weather perfect for outdoor events.,0
182,,,Enjoying a walk in the park.,0
183,,,Winter weather advisory in effect.,1
184,,,Flash flood watch issued for the region.,1
185,,,Sunny skies and warm temperatures expected.,0
186,,,Fall foliage at its peak.,0
187,,,Snowstorm warning upgraded to blizzard warning.,1
188,,,Mudslide reported on the highway.,1
189,,,Thunderstorms expected to develop this afternoon.,1
190,,,Snow accumulation expected overnight.,1
191,,,Clear skies and mild temperatures forecasted.,0
192,,,Enjoying a day at the lake with family.,0
193,,,Heatwave causing record-breaking temperatures.,1
194,,,Smoke from distant wildfires drifting into the city.,1
195,,,Heavy rainfall causing localized flooding.,1
196,,,Minor earthquake reported in the area.,1
197,,,Sunny weather perfect for outdoor activities.,0
198,,,Autumn leaves falling gracefully from the trees.,0
199,,,Snowfall expected to intensify overnight.,1
200,,,Rockslide reported on the mountain pass.,1
201,,,Thunderstorm warning issued for the evening.,1
202,,,Sunny skies and cool temperatures forecasted.,0
203,,,Enjoying a bike ride through the countryside.,0
204,,,Winter storm warning upgraded to blizzard warning.,1
205,,,Flash flood warning issued for the county.,1
206,,,Sunny weather perfect for a picnic.,0
207,,,Enjoying the beautiful spring weather.,0
208,,,Snowfall accumulation expected to continue overnight.,1
209,,,Heavy rain causing street flooding.,1
210,,,Earthquake aftershocks continue to be felt.,1
211,,,Sunny skies and warm temperatures expected.,0
212,,,Fall foliage tour scheduled for next weekend.,0
213,,,Winter weather advisory issued for the region.,1
214,,,Flash flooding reported in low-lying areas.,1
215,,,Thunderstorm activity expected to increase later today.,1
216,,,Snow flurries observed in the morning.,1
217,,,Clear skies and mild temperatures forecasted.,0
218,,,Enjoying a hike in the mountains.,0
219,,,Heatwave warning issued for the city.,1
220,,,Smoke from nearby wildfires visible in the sky.,1
221,,,Heavy rain causing traffic delays.,1
222,,,Minor earthquake tremors felt in the region.,1
223,,,Sunny weather perfect for outdoor events.,0
224,,,Enjoying a walk in the park.,0
225,,,Winter weather advisory in effect.,1
226,,,Flash flood watch issued for the region.,1
227,,,Sunny skies and warm temperatures expected.,0
228,,,Fall foliage at its peak.,0
229,,,Snowstorm warning upgraded to blizzard warning.,1
230,,,Mudslide reported on the highway.,1
231,,,Thunderstorms expected to develop this afternoon.,1
232,,,Snow accumulation expected overnight.,1
233,,,Clear skies and mild temperatures forecasted.,0
234,,,Enjoying a day at the lake with family.,0
235,,,Heatwave causing record-breaking temperatures.,1
236,,,Smoke from distant wildfires drifting into the city.,1
237,,,Heavy rainfall causing localized flooding.,1
238,,,Minor earthquake reported in the area.,1
239,,,Sunny weather perfect for outdoor activities.,0
240,,,Autumn leaves falling gracefully from the trees.,0
241,,,Snowfall expected to intensify overnight.,1
242,,,Rockslide reported on the mountain pass.,1
243,,,Thunderstorm warning issued for the evening.,1
244,,,Sunny skies and cool temperatures forecasted.,0
245,,,Enjoying a bike ride through the countryside.,0
246,,,Winter storm warning upgraded to blizzard warning.,1
247,,,Flash flood warning issued for the county.,1
248,,,Sunny weather perfect for a picnic.,0
249,,,Enjoying the beautiful spring weather.,0
250,,,Snowfall accumulation expected to continue overnight.,1
251,,,Heavy rain causing street flooding.,1
252,,,Earthquake aftershocks continue to be felt.,1
253,,,Sunny skies and warm temperatures expected.,0
254,,,Fall foliage tour scheduled for next weekend.,0
255,,,Winter weather advisory issued for the region.,1
256,,,Flash flooding reported in low-lying areas.,1
257,,,Thunderstorm activity expected to increase later today.,1
258,,,Snow flurries observed in the morning.,1
259,,,Clear skies and mild temperatures forecasted.,0
260,,,Enjoying a hike in the mountains.,0
261,,,Heatwave warning issued for the city.,1
262,,,Smoke from nearby wildfires visible in the sky.,1
263,,,Heavy rain causing traffic delays.,1
264,,,Minor earthquake tremors felt in the region.,1
265,,,Sunny weather perfect for outdoor events.,0
266,,,Enjoying a walk in the park.,0
267,,,Winter weather advisory in effect.,1
268,,,Flash flood watch issued for the region.,1
269,,,Sunny skies and warm temperatures expected.,0
270,,,Fall foliage at its peak.,0
271,,,Snowstorm warning upgraded to blizzard warning.,1
272,,,Mudslide reported on the highway.,1
273,,,Thunderstorms expected to develop this afternoon.,1
274,,,Snow accumulation expected overnight.,1
275,,,Clear skies and mild temperatures forecasted.,0
276,,,Enjoying a day at the lake with family.,0
277,,,Heatwave causing record-breaking temperatures.,1
278,,,Smoke from distant wildfires drifting into the city.,1
279,,,Heavy rainfall causing localized flooding.,1
280,,,Minor earthquake reported in the area.,1
281,,,Sunny weather perfect for outdoor activities.,0
282,,,Autumn leaves falling gracefully from the trees.,0
283,,,Snowfall expected to intensify overnight.,1
284,,,Rockslide reported on the mountain pass.,1
285,,,Thunderstorm warning issued for the evening.,1
286,,,Sunny skies and cool temperatures forecasted.,0
287,,,Enjoying a bike ride through the countryside.,0
288,,,Winter storm warning upgraded to blizzard warning.,1
289,,,Flash flood warning issued for the county.,1
290,,,Sunny weather perfect for a picnic.,0
291,,,Enjoying the beautiful spring weather.,0
292,,,Snowfall accumulation expected to continue overnight.,1
293,,,Heavy rain causing street flooding.,1
294,,,Earthquake aftershocks continue to be felt.,1
295,,,Sunny skies and warm temperatures expected.,0
296,,,Fall foliage tour scheduled for next weekend.,0
297,,,Winter weather advisory issued for the region.,1
298,,,Flash flooding reported in low-lying areas.,1
299,,,Thunderstorm activity expected to increase later today.,1
300,,,Snow flurries observed in the morning.,1
301,,,Clear skies and mild temperatures forecasted.,0
302,,,Enjoying a hike in the mountains.,0
303,,,Heatwave warning issued for the city.,1
304,,,Smoke from nearby wildfires visible in the sky.,1
305,,,Heavy rain causing traffic delays.,1
306,,,Minor earthquake tremors felt in the region.,1
307,,,Sunny weather perfect for outdoor events.,0
308,,,Enjoying a walk in the park.,0
309,,,Winter weather advisory in effect.,1
310,,,Flash flood watch issued for the region.,1
311,,,Sunny skies and warm temperatures expected.,0
312,,,Fall foliage at its peak.,0
313,,,Snowstorm warning upgraded to blizzard warning.,1
314,,,Mudslide reported on the highway.,1
315,,,Thunderstorms expected to develop this afternoon.,1
316,,,Snow accumulation expected overnight.,1
317,,,Clear skies and mild temperatures forecasted.,0
318,,,Enjoying a day at the lake with family.,0
319,,,Heatwave causing record-breaking temperatures.,1
320,,,Smoke from distant wildfires drifting into the city.,1
321,,,Heavy rainfall causing localized flooding.,1
322,,,Minor earthquake reported in the area.,1
323,,,Sunny weather perfect for outdoor activities.,0
324,,,Autumn leaves falling gracefully from the trees.,0
325,,,Snowfall expected to intensify overnight.,1
326,,,Rockslide reported on the mountain pass.,1
327,,,Thunderstorm warning issued for the evening.,1
328,,,Sunny skies and cool temperatures forecasted.,0
329,,,Enjoying a bike ride through the countryside.,0
330,,,Winter storm warning upgraded to blizzard warning.,1
331,,,Flash flood warning issued for the county.,1
332,,,Sunny weather perfect for a picnic.,0
333,,,Enjoying the beautiful spring weather.,0
334,,,Snowfall accumulation expected to continue overnight.,1
335,,,Heavy rain causing street flooding.,1
336,,,Earthquake aftershocks continue to be felt.,1
337,,,Sunny skies and warm temperatures expected.,0
338,,,Fall foliage tour scheduled for next weekend.,0
339,,,Winter weather advisory issued for the region.,1
340,,,Flash flooding reported in low-lying areas.,1
341,,,Thunderstorm activity expected to increase later today.,1
342,,,Snow flurries observed in the morning.,1
343,,,Clear skies and mild temperatures forecasted.,0
344,,,Enjoying a hike in the mountains.,0
345,,,Heatwave warning issued for the city.,1
346,,,Smoke from nearby wildfires visible in the sky.,1
347,,,Heavy rain causing traffic delays.,1
348,,,Minor earthquake tremors felt in the region.,1
349,,,Sunny weather perfect for outdoor events.,0
350,,,Enjoying a walk in the park.,0
351,,,Winter weather advisory in effect.,1
352,,,Flash flood watch issued for the region.,1
353,,,Sunny skies and warm temperatures expected.,0
354,,,Fall foliage at its peak.,0
355,,,Snowstorm warning upgraded to blizzard warning.,1
356,,,Mudslide reported on the highway.,1
357,,,Thunderstorms expected to develop this afternoon.,1
358,,,Snow accumulation expected overnight.,1
359,,,Clear skies and mild temperatures forecasted.,0
360,,,Enjoying a day at the lake with family.,0
361,,,Heatwave causing record-breaking temperatures.,1
362,,,Smoke from distant wildfires drifting into the city.,1
363,,,Heavy rainfall causing localized flooding.,1
364,,,Minor earthquake reported in the area.,1
365,,,Sunny weather perfect for outdoor activities.,0
366,,,Autumn leaves falling gracefully from the trees.,0
367,,,Snowfall expected to intensify overnight.,1
368,,,Rockslide reported on the mountain pass.,1
369,,,Thunderstorm warning issued for the evening.,1
370,,,Sunny skies and cool temperatures forecasted.,0
371,,,Enjoying a bike ride through the countryside.,0
372,,,Winter storm warning upgraded to blizzard warning.,1
373,,,Flash flood warning issued for the county.,1
374,,,Sunny weather perfect for a picnic.,0
375,,,Enjoying the beautiful spring weather.,0
376,,,Snowfall accumulation expected to continue overnight.,1
377,,,Heavy rain causing street flooding.,1
378,,,Earthquake aftershocks continue to be felt.,1
379,,,Sunny skies and warm temperatures expected.,0
380,,,Fall foliage tour scheduled for next weekend.,0
381,,,Winter weather advisory issued for the region.,1
382,,,Flash flooding reported in low-lying areas.,1
383,,,Thunderstorm activity expected to increase later today.,1
384,,,Snow flurries observed in the morning.,1
385,,,Clear skies and mild temperatures forecasted.,0
386,,,Enjoying a hike in the mountains.,0
387,,,Heatwave warning issued for the city.,1
388,,,Smoke from nearby wildfires visible in the sky.,1
389,,,Heavy rain causing traffic delays.,1
390,,,Minor earthquake tremors felt in the region.,1
391,,,Sunny weather perfect for outdoor events.,0
392,,,Enjoying a walk in the park.,0
393,,,Winter weather advisory in effect.,1
394,,,Flash flood watch issued for the region.,1
395,,,Sunny skies and warm temperatures expected.,0
396,,,Fall foliage at its peak.,0
397,,,Snowstorm warning upgraded to blizzard warning.,1
398,,,Mudslide reported on the highway.,1
399,,,Thunderstorms expected to develop this afternoon.,1
400,,,Snow accumulation expected overnight.,1
401,,,Clear skies and mild temperatures forecasted.,0
402,,,Enjoying a day at the lake with family.,0
403,,,Heatwave causing record-breaking temperatures.,1
404,,,Smoke from distant wildfires drifting into the city.,1
405,,,Heavy rainfall causing localized flooding.,1
406,,,Minor earthquake reported in the area.,1
407,,,Sunny weather perfect for outdoor activities.,0
408,,,Autumn leaves falling gracefully from the trees.,0
409,,,Snowfall expected to intensify overnight.,1
410,,,Rockslide reported on the mountain pass.,1
411,,,Thunderstorm warning issued for the evening.,1
412,,,Sunny skies and cool temperatures forecasted.,0
413,,,Enjoying a bike ride through the countryside.,0
414,,,Winter storm warning upgraded to blizzard warning.,1
415,,,Flash flood warning issued for the county.,1
416,,,Sunny weather perfect for a picnic.,0
417,,,Enjoying the beautiful spring weather.,0
418,,,Snowfall accumulation expected to continue overnight.,1
419,,,Heavy rain causing street flooding.,1
420,,,Earthquake aftershocks continue to be felt.,1
421,,,Sunny skies and warm temperatures expected.,0
422,,,Fall foliage tour scheduled for next weekend.,0
423,,,Winter weather advisory issued for the region.,1
424,,,Flash flooding reported in low-lying areas.,1
425,,,Thunderstorm activity expected to increase later today.,1
426,,,Snow flurries observed in the morning.,1
427,,,Clear skies and mild temperatures forecasted.,0
428,,,Enjoying a hike in the mountains.,0
429,,,Heatwave warning issued for the city.,1
430,,,Smoke from nearby wildfires visible in the sky.,1
431,,,Heavy rain causing traffic delays.,1
432,,,Minor earthquake tremors felt in the region.,1
433,,,Sunny weather perfect for outdoor events.,0
434,,,Enjoying a walk in the park.,0
435,,,Winter weather advisory in effect.,1
436,,,Flash flood watch issued for the region.,1
437,,,Sunny skies and warm temperatures expected.,0
438,,,Fall foliage at its peak.,0
439,,,Snowstorm warning upgraded to blizzard warning.,1
440,,,Mudslide reported on the highway.,1
441,,,Thunderstorms expected to develop this afternoon.,1
442,,,Snow accumulation expected overnight.,1
443,,,Clear skies and mild temperatures forecasted.,0
444,,,Enjoying a day at the lake with family.,0
445,,,Heatwave causing record-breaking temperatures.,1
446,,,Smoke from distant wildfires drifting into the city.,1
447,,,Heavy rainfall causing localized flooding.,1
448,,,Minor earthquake reported in the area.,1
449,,,Sunny weather perfect for outdoor activities.,0
450,,,Autumn leaves falling gracefully from the trees.,0
451,,,Snowfall expected to intensify overnight.,1
452,,,Rockslide reported on the mountain pass.,1
453,,,Thunderstorm warning issued for the evening.,1
454,,,Sunny skies and cool temperatures forecasted.,0
455,,,Enjoying a bike ride through the countryside.,0
456,,,Winter storm warning upgraded to blizzard warning.,1
457,,,Flash flood warning issued for the county.,1
458,,,Sunny weather perfect for a picnic.,0
459,,,Enjoying the beautiful spring weather.,0
460,,,Snowfall accumulation expected to continue overnight.,1
461,,,Heavy rain causing street flooding.,1
462,,,Earthquake aftershocks continue to be felt.,1
463,,,Sunny skies and warm temperatures expected.,0
464,,,Fall foliage tour scheduled for next weekend.,0
465,,,Winter weather advisory issued for the region.,1
466,,,Flash flooding reported in low-lying areas.,1
467,,,Thunderstorm activity expected to increase later today.,1
468,,,Snow flurries observed in the morning.,1
469,,,Clear skies and mild temperatures forecasted.,0
470,,,Enjoying a hike in the mountains.,0
471,,,Heatwave warning issued for the city.,1
472,,,Smoke from nearby wildfires visible in the sky.,1
