id,keyword,location,text,target
501,,,Sunny weather perfect for a picnic.,0
502,,,Enjoying the beautiful spring weather.,0
503,,,Snowfall accumulation expected to continue overnight.,1
504,,,Heavy rain causing street flooding.,1
505,,,Earthquake aftershocks continue to be felt.,1
506,,,Sunny skies and warm temperatures expected.,0
507,,,Fall foliage tour scheduled for next weekend.,0
508,,,Winter weather advisory issued for the region.,1
509,,,Flash flooding reported in low-lying areas.,1
510,,,Thunderstorm activity expected to increase later today.,1
511,,,Snow flurries observed in the morning.,1
512,,,Clear skies and mild temperatures forecasted.,0
513,,,Enjoying a hike in the mountains.,0
514,,,Heatwave warning issued for the city.,1
515,,,Smoke from nearby wildfires visible in the sky.,1
516,,,Heavy rain causing traffic delays.,1
517,,,Minor earthquake tremors felt in the region.,1
518,,,Sunny weather perfect for outdoor events.,0
519,,,Enjoying a walk in the park.,0
520,,,Winter weather advisory in effect.,1
521,,,Flash flood watch issued for the region.,1
522,,,Sunny skies and warm temperatures expected.,0
523,,,Fall foliage at its peak.,0
524,,,Snowstorm warning upgraded to blizzard warning.,1
525,,,Mudslide reported on the highway.,1
526,,,Thunderstorms expected to develop this afternoon.,1
527,,,Snow accumulation expected overnight.,1
528,,,Clear skies and mild temperatures forecasted.,0
529,,,Enjoying a day at the lake with family.,0
530,,,Heatwave causing record-breaking temperatures.,1
531,,,Smoke from distant wildfires drifting into the city.,1
532,,,Heavy rainfall causing localized flooding.,1
533,,,Minor earthquake reported in the area.,1
534,,,Sunny weather perfect for outdoor activities.,0
535,,,Autumn leaves falling gracefully from the trees.,0
536,,,Snowfall expected to intensify overnight.,1
537,,,Rockslide reported on the mountain pass.,1
538,,,Thunderstorm warning issued for the evening.,1
539,,,Sunny skies and cool temperatures forecasted.,0
540,,,Enjoying a bike ride through the countryside.,0
541,,,Winter storm warning upgraded to blizzard warning.,1
542,,,Flash flood warning issued for the county.,1
543,,,Sunny weather perfect for a picnic.,0
544,,,Enjoying the beautiful spring weather.,0
545,,,Snowfall accumulation expected to continue overnight.,1
546,,,Heavy rain causing street flooding.,1
547,,,Earthquake aftershocks continue to be felt.,1
548,,,Sunny skies and warm temperatures expected.,0
549,,,Fall foliage tour scheduled for next weekend.,0
550,,,Winter weather advisory issued for the region.,1
551,,,Flash flooding reported in low-lying areas.,1
552,,,Thunderstorm activity expected to increase later today.,1
553,,,Snow flurries observed in the morning.,1
554,,,Clear skies and mild temperatures forecasted.,0
555,,,Enjoying a hike in the mountains.,0
556,,,Heatwave warning issued for the city.,1
557,,,Smoke from nearby wildfires visible in the sky.,1
558,,,Heavy rain causing traffic delays.,1
559,,,Minor earthquake tremors felt in the region.,1
560,,,Sunny weather perfect for outdoor events.,0
561,,,Enjoying a walk in the park.,0
562,,,Winter weather advisory in effect.,1
563,,,Flash flood watch issued for the region.,1
